,0,1,2,3,4,5,6,7,8,9
0,film,documentary,movie,music,band,live,comedy,tour,rock,footage
1,old,year,boy,life,new,father,girl,family,daughter,12
2,killer,police,murder,agent,detective,serial,crime,cop,case,drug
3,world,story,group,time,finds,evil,friends,way,help,team
4,new,york,city,world,life,love,young,family,man,manager
5,life,man,love,story,world,family,finds,make,new,friends
6,school,high,student,students,teacher,friends,girls,new,girl,college
7,town,small,sheriff,local,new,way,woman,life,comes,murder
8,love,wife,falls,woman,husband,fall,son,daughter,ex,affair
9,young,woman,boy,father,finds,man,couple,daughter,help,mother
10,event,ufc,championship,held,ultimate,mixed,martial,arts,fighting,pride
11,family,christmas,children,parents,father,mother,home,santa,time,house
12,war,world,earth,planet,ii,mission,american,alien,space,soldiers
13,man,young,story,death,woman,love,family,finds,world,prison
