id,title,synopsis
18,Unforgiven,"william munny is a retired, once-ruthless killer turned gentle widower and hog farmer. to help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff."
19,The Simpsons Movie,"after homer accidentally pollutes the town's water supply, springfield is encased in a gigantic dome by the epa and the simpsons are declared fugitives."
74,Groundhog Day,"a narcissistic tv weatherman, along with his attractive-but-distant producer, and his mawkish cameraman, is sent to report on groundhog day in the small town of punxsutawney, where he finds himself repeating the same day over and over."
80,48 Hrs.,"a hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer."
87,Edward Scissorhands,a small suburban town receives a visit from a castaway unfinished science experiment named edward.
94,28 Days Later,"twenty-eight days after a killer virus was accidentally unleashed from a british research facility, a small group of london survivors are caught in a desperate struggle to protect themselves from the infected. carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain."
98,Saw,"obsessed with teaching his victims the value of life, a deranged, sadistic serial killer abducts the morally wayward. once captured, they must face impossible choices in a horrific game of survival. the victims must fight to win their lives back, or die trying..."
108,Sin City,"welcome to sin city. this town beckons to the tough, the corrupt, the brokenhearted. some call it dark… hard-boiled. then there are those who call it home — crooked cops, sexy dames, desperate vigilantes. some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. a universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care."
144,Natural Born Killers,two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.
172,High Noon,"will kane, the sheriff of a small town in new mexico, learns a notorious outlaw he put in jail has been freed, and will be arriving on the noon train. knowing the outlaw and his gang are coming to kill him, kane is determined to stand his ground, so he attempts to gather a posse from among the local townspeople."
183,Rio Bravo,"the sheriff of a small town in southwest texas must keep custody of a murderer whose brother, a powerful rancher, is trying to help him escape. after a friend is killed trying to muster support for him, he and his deputies - a disgraced drunk and a cantankerous old cripple - must find a way to hold out against the rancher's hired guns until the marshal arrives. in the meantime, matters are complicated by the presence of a young gunslinger - and a mysterious beauty who just came in on the last stagecoach."
195,Insomnia,two los angeles homicide detectives are dispatched to a northern town where the sun doesn't set to investigate the methodical murder of a local teen.
214,A Nightmare on Elm Street,"teenagers in a small town are dropping like flies, apparently in the grip of mass hysteria causing their suicides. a cop's daughter, nancy thompson, traces the cause to child molester fred krueger, who was burned alive by angry parents many years before. krueger has now come back in the dreams of his killers' children, claiming their lives as his revenge. nancy and her boyfriend, glen, must devise a plan to lure the monster out of the realm of nightmares and into the real world..."
223,Chocolat,"a fable of emotional liberation and chocolate. a mother and daughter move to a small french town where they open a chocolate shop. the town, religious and morally strict, is against them as they represent free-thinking and indulgence. when a group of boat gypsies float down the river the prejudices of the mayor leads to a crisis."
250,Aliens vs Predator: Requiem,"the iconic creatures from two of the scariest film franchises in movie history wage their most brutal battle ever—in our own backyard. the small town of gunnison, colorado becomes a war zone between two of the deadliest extra-terrestrial life forms—the alien and the predator. when a predator scout ship crash-lands in the hills outside the town, alien facehuggers and a hybrid alien/predator are released and begin to terrorize the town."
256,Erin Brockovich,"a twice-divorced mother of three who sees an injustice, takes on the bad guy and wins -- with a little help from her push-up bra. erin goes to work for an attorney and comes across medical records describing illnesses clustered in one nearby town. she starts investigating and soon exposes a monumental cover-up."
280,Monster,"an emotionally scarred highway drifter shoots a sadistic trick who rapes her, and ultimately becomes the united states' first female serial killer."
313,Dogville,"a barren soundstage is stylishly utilized to create a minimalist small-town setting in which a mysterious woman named grace hides from the criminals who pursue her. the town is two-faced and offers to harbor grace as long as she can make it worth their effort, so grace works hard under the employ of various townspeople to win their favor. tensions flare, however, and grace's status as a helpless outsider provokes vicious contempt and abuse from the citizens of dogville."
327,Frenzy,"after a serial killer strangles several women with a necktie, london police identify a suspect—but he's the wrong man."
340,Silent Hill,"in search for answers, a mother travels to the enigmatic town of silent hill when her daughter begins to suffer recurring nightmares related to the place. it doesn't take long for her to discover its home to beings as equally haunting as the town itself."
369,Easy Rider,a cross-country trip to sell drugs puts two hippie bikers on a collision course with small-town prejudices.
407,Out of the Past,"jeff bailey seems to be a mundane gas station owner in remote bridgeport, ca. he is dating local girl ann miller and lives a quiet life. but jeff has a secret past, and when a mysterious stranger arrives in town, jeff is forced to return to the dark world he had tried to escape."
452,Braindead,"when a sumatran rat-monkey bites lionel cosgrove's mother, she's transformed into a zombie and begins killing (and transforming) the entire town while lionel races to keep things under control."
468,The Fog,"strange things begin to occurs as a tiny california coastal town prepares to commemorate its centenary. inanimate objects spring eerily to life; rev. malone stumbles upon a dark secret about the town's founding; radio announcer stevie witnesses a mystical fire; and hitchhiker elizabeth discovers the mutilated corpse of a fisherman. then a mysterious iridescent fog descends upon the village, and more people start to die."
480,Se7en,"two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the ""seven deadly sins"" in this dark and haunting film that takes viewers from the tortured remains of one victim to the next. the seasoned det. sommerset researches each sin in an effort to get inside the killer's mind, while his novice partner, mills, scoffs at his efforts to unravel the case."
561,Blind Date,"when bachelor walter davis is set up with his sister-in-law's pretty cousin, nadia gates, a seemingly average blind date turns into a chaotic night on the town. walter's brother, ted, tells him not to let nadia drink alcohol, but he dismisses the warning and her behaviour gets increasingly wild. walter and nadia's numerous incidents are made even worse as her former lover david relentlessly follows them around town."
563,Cars,"lightning mcqueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy route 66 town of radiator springs. on route across the country to the big piston cup championship in california to compete against two seasoned pros, mcqueen gets to know the town's offbeat characters."
570,Gremlins,"when billy peltzer is given a strange but adorable pet named gizmo for christmas, he inadvertently breaks the three important rules of caring for a mogwai, and unleashes a horde of mischievous gremlins on a small town."
584,Halloween,"fifteen years after murdering his sister on halloween night 1963, michael myers escapes from a mental hospital and returns to the small town of haddonfield, illinois to kill again."
599,Spartacus,"the rebellious thracian spartacus, born and raised a slave, is sold to gladiator trainer batiatus. after weeks of being trained to kill for the arena, spartacus turns on his owners and leads the other slaves in rebellion. as the rebels move from town to town, their numbers swell as escaped slaves join their ranks. under the leadership of spartacus, they make their way to southern italy, where they will cross the sea and return to their homes."
605,The Ox-Bow Incident,"gil carter and art croft ride into a small nevada town plagued by cattle thieves. initially suspected of being the rustlers themselves, carter and croft eventually join a posse out to get the criminals, who also may be involved in a recent shooting. when the posse closes in on a group that could be the fugitives, they must decide on a course of action, with numerous lives hanging in the balance."
648,Hannibal Rising,"the story of the early, murderous roots of the cannibalistic killer, hannibal lecter – from his hard-scrabble lithuanian childhood, where he witnesses the repulsive lengths to which hungry soldiers will go to satiate themselves, through his sojourn in france, where as a med student he hones his appetite for the kill."
705,Breakfast on Pluto,"in the 1970s, a foundling lad, patrick ""kitten"" braden, comes of age by leaving his irish town for london, in part to look for his mother and in part because his transgender nature is beyond the town's understanding."
716,The Contract,"attempting to recover from a recent family trauma by escaping into the woods for a peaceful hiking trip, an ex-lawman and his young son stumble across a dangerous contract killer."
734,Cool as Ice,"johnny, a freewheeling, motorcycle-riding musician, rolls into a small town with his band, and meets kathy, an honor student who catches his eye. meanwhile, kathy's father, after being in the witness protection program, is finally found by the two corrupt cops he escaped from years ago, who claim he owes them a lot of money."
747,The Lost Boys,a mother and her two teenage sons move to a seemingly nice and quiet small coastal california town yet soon find out that it's overrun by bike gangs and vampires. a couple of teenage friends take it upon themselves to hunt down the vampires that they suspect of a few mysterious murders and restore peace and calm to their town.
778,Population 436,a census-taker is sent to investigate why a certain small town has had the same population -- 436 residents -- for the last 100 years.
794,Mississippi Burning,"two fbi agents investigating the murder of civil rights workers during the 60s seek to breach the conspiracy of silence in a small southern town where segregation divides black and white. the younger agent trained in fbi school runs up against the small town ways of his partner, a former sheriff."
819,The Reaping,"katherine morrissey, a former christian missionary, lost her faith after the tragic deaths of her family. now she applies her expertise to debunking religious phenomena. when a series of biblical plagues overrun a small town, katherine arrives to prove that a supernatural force is not behind the occurrences, but soon finds that science cannot explain what is happening. instead, she must regain her faith to combat the evil that waits in a louisiana swamp."
835,Copycat,an agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.
869,Footloose,"when teenager ren and his family move from big-city chicago to a small town in the west, he's in for a real case of culture shock after discovering he's living in a place where music and dancing are illegal."
902,Poodle Springs,"private eye philip marlowe and his bride move to a desert town, where he uncovers a land scheme."
948,Twin Peaks: Fire Walk with Me,"in the questionable town of deer meadow, washington, fbi agent desmond inexplicably disappears while hunting for the man who murdered a teen girl. the killer is never apprehended, and, after experiencing dark visions and supernatural encounters, agent dale cooper chillingly predicts that the culprit will claim another life. meanwhile, in the more cozy town of twin peaks, hedonistic beauty laura palmer hangs with lowlifes and seems destined for a grisly fate."
969,Zodiac,"the true story of the investigation of the ""zodiac killer"", a serial killer who terrified the san francisco bay area, taunting police with his ciphers and letters. the case becomes an obsession for three men as their lives and careers are built and destroyed by the endless trail of clues."
976,My Name Is Bruce,b movie legend bruce campbell is mistaken for his character ash from the evil dead trilogy and forced to fight a real monster in a small town in oregon.
1010,Mr. Deeds,"when longfellow deeds, a small-town pizzeria owner and poet, inherits $40 billion from his deceased uncle, he quickly begins rolling in a different kind of dough. moving to the big city, deeds finds himself besieged by opportunists all gunning for their piece of the pie. babe, a television tabloid reporter, poses as an innocent small-town girl to do an exposé on deeds."
1061,Raw Deal,"mark kaminsky is kicked out of the fbi for his rough treatment of a suspect. he winds up as the sheriff of a small town in north carolina. fbi chief harry shannon, whose son has been killed by a mobster named patrovina, enlists kaminsky in a personal vendetta with a promise of reinstatement into the fbi if patrovina is taken down. to accomplish this, he must go undercover and join patrovina's gang."
1088,Cop Land,"freddy heflin is the sheriff of a place everyone calls “cop land” — a small and seemingly peaceful town populated by the big city police officers he’s long admired. yet something ugly is taking place behind the town’s peaceful facade. and when freddy uncovers a massive, deadly conspiracy among these local residents, he is forced to take action and make a dangerous choice between protecting his idols and upholding the law."
1238,House of 1000 Corpses,two teenage couples traveling across the backwoods of texas searching for urban legends of serial killers end up as prisoners of a bizarre and sadistic backwater family of serial killers.
1265,The Lodger: A Story of the London Fog,"london. a mysterious serial killer brutally murders young blond women by stalking them in the night fog. one foggy, sinister night, a young man who claims his name is jonathan drew arrives at the guest house run by the bunting family and rents a room."
1282,Identity,"complete strangers stranded at a remote desert motel during a raging storm soon find themselves the target of a deranged murderer. as their numbers thin out, the travelers begin to turn on each other, as each tries to figure out who the killer is."
1308,Return of the Ghostbusters,"the mile high city is rocked when an ancient egyptian menace comes to town, and the denver ghostbusters must return to save the universe once more."
1331,Bloodline,"when her father is murdered, a cosmetics heiress becomes the next target of an unknown killer amid the international jet set."
1358,Frankenstein,an investigation into a serial killer leads two detectives to discover that dr. frankenstein and his creature are still alive after two centuries of genetic experiments.
1404,The Night of the Hunter,"in the deep south, a serial-killing preacher hunts two young children who know the whereabouts of a stash of money."
1423,Big Monster on Campus,a student receives a serial killer's brain in a transplant after being thrown into a pool with no water in it
1473,The Face of Fu Manchu,"grisly strangulations in london alert nayland smith of scotland yard to the possibility that fiendish fu manchu may not after all be dead, even though smith witnessed his execution. a killer spray made from tibetan berries seems to be involved and clues keep leading back to the thames."
1479,Drums of Fu Manchu,"feature version of the 1940 republic serial, about fu manchu's attempt to conquer asia."
1528,I'll Always Know What You Did Last Summer,"several teenagers in a small-town in colorado concoct a july 4th prank based on a frightening legend that goes awry when their friend ends up accidentally killed; however, the teens agree to keep their involvement a secret from the authorities, who continue to search for the man who apparently killed their friend. a year later, with the july 4th celebration coming up again, the teenagers realize that they're being stalked by someone who clearly intends on keeping the horrible legend alive by killing them off."
1546,Destination Saturn,"made-for-tv feature version of the 1940 movie serial, buck rogers."
1550,Buck Rogers,"edited version of the 1939 universal serial ""buck rogers."""
1551,D-Day on Mars,"this is a shortened version of the 1945 republic serial ""the purple monster strikes,"" which was released to television in 1966."
1579,Critters,a massive ball of furry creatures from another world eat their way through a small mid-western town followed by intergalactic bounty hunters opposed only by militant townspeople.
1610,Death on the Nile,"as hercule poirot enjoys a luxurious cruise down the nile, a newlywed heiress is found murdered on board. can poirot identify the killer before the ship reaches the end of its journey?"
1618,Shriek If You Know What I Did Last Friday the Thirteenth,"in this horror parody, a masked serial killer menaces the town of bulimia falls with various sharp objects. attention-seeking television personality hagitha utslay is soon on the scene, reporting on the ever-growing body count. former mall security guard doughy shows up to protect the teenage population, but he's clearly not much help, allowing the murderer to pick off even more hapless kids as numerous scary movies are referenced."
1620,Scream,"a killer known as ghostface begins killing off teenagers, and as the body count begins rising, one girl and her friends find themselves contemplating the 'rules' of horror films as they find themselves living in a real-life one."
1622,Scream 3,"a murdering spree begins to happen again, this time its targeted toward the original woodsboro survivors and those associated with the movie inside a movie, 'stab 3'. sydney must face the demons of her past to stop the killer."
1623,Freak Out,"two best friends, merv doody (james heathcote) and onkey (dan palmer), take a hapless escaped mental patient under their wing and attempt to teach him how to become a real serial killer."
1626,Scary Movie,"on halloween night, big-time nerd warren attends a spookhouse in a small texas town. but is the haunted house as harmless as it seems, or has a psychotic mental patient found a new stomping ground?"
1628,Scary Movie,"a familiar-looking group of teenagers find themselves being stalked by a more-than-vaguely recognizable masked killer! as the victims begin to pile up and the laughs pile on, none of your favorite scary movies escape the razor-sharp satire of this outrageously funny parody!"
1687,30 Days of Night,"this is the story of an isolated alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. as the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. only the small town's husband-and-wife sheriff team stand between the survivors and certain destruction."
1716,Scorched,"three mischievous employees of a bank in a small deserted town all make plans to rob it at the same time, however none of them knows about the others."
1727,Jindabyne,"stewart kane, an irishman living in the australian town of jindabyne, is on a fishing trip in isolated hill country with three other men when they discover the body of a murdered girl in the river. rather than return to the town immediately, they continue fishing and report their gruesome find days later. the story of a murder and a marriage - a film about the things that haunt us."
1763,And Then There Were None,"ten strangers are summoned to a remote island and while they are waiting for the mysterious host to appear, a recording levels serious accusations at each of the guests. soon they start being murdered, one by one. as the survivors try to keep their wits, they reach a disturbing conclusion: one of them must be the killer."
1788,Firecreek,"a peace-loving, part-time sheriff in the small town of firecreek must take a stand when a gang of vicious outlaws takes over his town."
1814,"Run, Simon, Run",a papago indian returns to his reservation after a prison term and searches for his brother's killer.
1845,Severance,"members (danny dyer, laura harris, tim mcinnerny) of the palisades defense corp. sales group arrive in europe for a team-building exercise. a fallen tree blocks the route, and they must hike to their destination. however, a psychotic killer lurks in the woods, and he has a horrible fate in mind for each of the co-workers."
1890,Mercy,"detective catherine palmer is on the trail of an elusive serial killer. during her investigation she meets vickie kittrie, who belongs to an exclusive club of women who engage in secret sessions of bondage and s&m. matters become even more complicated when palmer finds herself attracted to kittrie, leading to a brief lesbian encounter. palmer soon learns that each victim belonged to this club of prominent, sexually experimental women. in order to catch the killer, catherine must trust vickie to guide her through the dangerous and illicit underground."
1942,Six-Pack,a serial killer is on the loose in paris and he seems to be an american citizen working in the us embassy and being in the middle of a french-american economical affair.
1944,Wild Gals of the Naked West,"an old geezer recalls some of the antics of the men and women of his western town, more wild and woolly than tombstone or dodge city. in this town no one is a good shot, the women are hungry for new meat, and practical jokers abound. a stranger strolls into town, proving resistant to the mayhem, and after donning some cowboy duds begins cleaning up that town."
2002,Deadly Prey,"a group of sadistic mercenaries led by col. john hogan kidnap michael danton from his home, and set him loose on the grounds of their secret camp to be used as training for new recruits. danton has been called the ""most perfect killer ever."" now, he'll have to prove it again. this prey has become deadly!"
2005,Center of the Web,an actor is wrongly taken as a professional killer by a band planning to murder the governor. then he is hired by the security dept. to try to unmask and to catch the leaders.
2008,Circuit,"john, a gay illinois small town cop moves to los angeles, hoping to fit into a place more welcoming of his sexuality. he soon discovers the ""circuit,"" where he meets an insecure hustler, who draws john into drug abuse and illicit sex."
2013,Knight Moves,"a chess grandmaster is in a big tournament, and when his lover is found painted up and the blood drained out of her body he becomes a chief suspect. after he gets a call from the killer urging him to try and figure out the game, he cooperates with police and a psychologist to try and catch the killer, but doubts linger about the grandmaster's innocence as the string of grisly murders continues."
2038,I Know Who Killed Me,"an idyllic small town is rocked when aubrey fleming, a bright and promising young woman, is abducted and tortured by a sadistic serial killer. when she manages to escape, the traumatized girl who regains consciousness in the hospital insists that she is not who they think she is and that the real aubrey fleming is still in mortal danger."
2039,The Mist,"after a violent storm, a dense cloud of mist envelops a small maine town, trapping artist david drayton and his five-year-old son in a local grocery store with other people. they soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity."
2051,The Hunter,"during his long career, bounty hunter ralph ""papa"" thorson has caught over 5,000 criminals. now, while he is working on apprehending fugitives in illinois, texas and nebraska, he himself is being hunted by a psychotic killer."
2080,A Caribbean Mystery,"aging major palgrave, an idiosyncratic but charming mystery writer, reveals to miss marple that one of the guests at a luxurious caribbean resort they're staying at is a bluebeard-type wife murderer. unfortunately, the major succumbs to an apparently accidental overdose of alcohol and blood pressure medication before revealing the killer's identity. when it's discovered that the medicine belonged to another guest and the revealing photograph the major was carrying is missing, miss marple realizes that the serial killer has struck again and more murders will follow."
2086,The Patriot,"a deadly virus threatens to wipe out an entire rocky mountain town, leaving the town doctor to find some way to escape the soldiers who enforce the town's quarantine and devise an antidote. matters take a more deadly turn after the physician is captured by a dangerously unstable band of militia extremists."
2121,Crime Spree,"an out-of-town heist becomes a nightmare for a crew of french burglars when they mistakenly rob the head of the chicago mafia. unaccustomed to the ways of the american underworld, it is not long before they have the mafia, the fbi and a couple of street gangs on their backs as they attempt to make their way back to paris."
2155,Arachnophobia,"a large spider from the jungles of south america is accidentally transported in a crate with a dead body to america where it mates with a local spider. soon after, the residents of a small california town disappear as the result of spider bites from the deadly spider offspring. it's up to a couple of doctors with the help of an insect exterminator to annihilate these eight legged freaks."
2158,The Dukes of Hazzard,"cousins, bo and luke duke, with the help of their eye-catching cousin, daisy and moonshine-running uncle jesse, try and save the family farm from being destroyed by hazzard county's corrupt commissioner, boss hogg. their efforts constantly find the 'duke boys' eluding authorities in 'the general lee', their 1969 orange dodge charger that keeps them one step ahead of the dimwitted antics of the small southern town's sheriff, roscoe p. coltrane."
2202,Outbreak,"a deadly airborne virus finds its way into the usa and starts killing off people at an epidemic rate. col sam daniels' job is to stop the virus spreading from a small town, which must be quarantined, and to prevent an over reaction by the white house."
2217,No Country for Old Men,"llewelyn moss stumbles upon dead bodies, $2 million and a hoard of heroin in a texas desert, but methodical killer anton chigurh comes looking for it, with local sheriff ed tom bell hot on his trail. the roles of prey and predator blur as the violent pursuit of money and justice collide."
2227,The Day After,"in the mid-1980s, the u.s. is poised on the brink of nuclear war. this shadow looms over the residents of a small town in kansas as they continue their daily lives. dr. russell oakes maintains his busy schedule at the hospital, denise dahlberg prepares for her upcoming wedding, and stephen klein is deep in his graduate studies. when the unthinkable happens and the bombs come down, the town's residents are thrust into the horrors of nuclear winter."
2237,Deadly Obsession,"a serial killer abducts a teenaged couple, takes them to his private torture chamber &amp; strips, tortures, rapes them. the girl escapes. when she tells her horror story to detectives, she is sabotaged by her mother who tells them not to believe her daughter's tall tale, ""she's a habitual liar."""
2239,Perfect Stranger,"a journalist goes undercover to ferret out businessman harrison hill as her best friend's killer. posing as one of his temps, she enters into a game of online cat-and-mouse."
2293,Shooter,"a marksman living in exile is coaxed back into action after learning of a plot to kill the president. ultimately double-crossed and framed for the attempt, he goes on the run to track the real killer and find out who exactly set him up, and why??"
2331,I Hired a Contract Killer,"after fifteen years' service, henri boulanger is made redundant from his job. shocked, he attempts suicide, but can't go through with it, so he hires a contract killer in a seedy bar to murder him at some unspecified time in the future. but almost immediately he meets and falls in love with margaret, a flower-seller, which makes henri realise that his life has some meaning after all. but when he goes back to the bar to cancel the contract, he finds it has been demolished - and there's no way he can get in touch with the killer..."
