,0,1,2,3,4,5,6,7,8,9
0,world,life,time,year,team,story,way,new,finds,lives
1,woman,young,husband,love,man,life,finds,falls,beautiful,daughter
2,school,high,student,teacher,students,friends,new,girl,girls,life
3,police,boy,detective,case,murder,officer,young,cop,investigation,old
4,town,killer,small,serial,sheriff,fbi,local,victims,murder,young
5,new,york,city,life,old,young,love,year,time,discovers
6,life,young,story,time,group,finds,friends,help,way,american
7,family,love,life,father,mother,home,old,brother,young,falls
8,film,documentary,movie,director,life,story,series,based,star,set
9,man,young,life,finds,story,old,love,father,takes,death
10,war,world,ii,american,vietnam,soldiers,army,civil,story,german
11,event,ufc,championship,held,ultimate,mixed,martial,arts,fighting,pride
12,earth,planet,space,alien,aliens,crew,mission,save,human,world
13,wife,son,ex,husband,man,life,daughter,job,young,years
