id,title,synopsis
4,Finding Nemo,"nemo, an adventurous young clownfish, is unexpectedly taken from his great barrier reef home to a dentist's office aquarium. it's up to his worrisome father marlin and a friendly but forgetful fish dory to bring nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way."
10,The Fifth Element,"in 2257, a taxi driver is unintentionally given the task of saving a young girl who is part of the key that will ensure the survival of humanity."
64,Charlie and the Chocolate Factory,"a young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker."
65,The Lord of the Rings: The Fellowship of the Ring,"young hobbit frodo baggins, after inheriting a mysterious ring from his uncle bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: mt. doom, the only place where it can be destroyed."
75,Dracula,"a powerful and ruthless vampire named count dracula arrives in london to prey on young, socialite women. standing in the vampire's way, is a group of concerned men and the enigmatic dr. abraham van helsing."
106,A Clockwork Orange,"in a near-future britain, young alexander delarge and his pals get their kicks beating and raping anyone they please. when not destroying the lives of others, alex swoons to the music of beethoven. the state, eager to crack down on juvenile crime, gives an incarcerated alex the option to undergo an invasive procedure that'll rob him of all personal agency. in a time when conscience is a commodity, can alex change his tune?"
110,The Name of the Rose,"14th-century franciscan monk william of baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. to solve the crimes, william must rise up against the church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable."
127,Indiana Jones and the Kingdom of the Crystal Skull,"set during the cold war, the soviets—led by sword-wielding irina spalko—are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold. indy is coerced to head to peru at the behest of a young man whose friend—and indy's colleague—professor oxley has been captured for his knowledge of the skull's whereabouts."
131,Rebecca,"story of a young woman who marries a fascinating widower only to find out that she must live in the shadow of his former wife, rebecca, who died mysteriously several years earlier. the young wife must come to grips with the terrible secret of her handsome, cold husband, max de winter. she must also deal with the jealous, obsessed mrs. danvers, the housekeeper, who will not accept her as the mistress of the house."
139,Muriel's Wedding,"a young social outcast in australia steals money from her parents to finance a vacation where she hopes to find happiness, and perhaps love."
140,Young Adam,a young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.
162,The Silence of the Lambs,"clarice starling is a top student at the fbi's training academy. jack crawford wants clarice to interview dr. hannibal lecter, a brilliant psychiatrist who is also a violent psychopath, serving life behind bars for various acts of murder and cannibalism. crawford believes that lecter may have insight into a case and that starling, as an attractive young woman, may be just the bait to draw him out."
204,Bollywood/Hollywood,"rahul seth is a dashing young millionaire who believes he is ""western"" enough to rebel against his mother and grandmother. they are not too keen about his caucasian girlfriend kimberly who, to make matters worse, is a pop star. before you can say ""karmic intervention,"" kimberly dies in a freak accident and rahul is devastated. instead of allowing him to mourn in peace, rahul's mother sees the opportunity she's been waiting for. she threatens to call off his sister's wedding unless he finds himself a ""nice indian girl."" rahul enlists the services of sue, a fiercely independent escort whom he believes to be hispanic, and therefore not ""married"" to the conventions taught to young indian women. with a wink in her eye, sue accepts the deal to pose as his indian bride-to-be. she needs the money and having never been a fan of the typical indian male, she feels her heart is safe. the charade begins...."
221,12 Angry Men,"the defense and the prosecution have rested and the jury is filing into the jury room to decide if a young spanish-american is guilty or innocent of murdering his father. what begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other."
226,Who's Afraid of Virginia Woolf?,"a bitter, aging couple, with the help of alcohol, use a young couple to fuel anguish and emotional pain towards each other."
237,Batman Forever,batman must battle a disfigured district attorney and a disgruntled former employee with help from an amorous psychologist and a young circus acrobat.
301,Stuttgart Shanghai,a young pair from stuttgart fly to shanghai to hop aboard the textile business of his father while she prepares for the birth of their son. a story about the ever more common movement of germans into the east for professional gain.
328,The Man Who Knew Too Much,"a widescreen, technicolor remake by hitchcock of his 1934 film of the same title. a couple vacationing in morocco with their young son accidentally stumble upon an assassination plot. when the child is kidnapped to ensure their silence, they have to take matters into their own hands to save him."
343,The Conversation,"surveillance expert harry caul is hired by a mysterious client's brusque aide to tail a young couple. tracking the pair through san francisco's union square, caul and his associate stan manage to record a cryptic conversation between them. tormented by memories of a previous case that ended badly, caul becomes obsessed with the resulting tape, trying to determine if the couple are in danger."
374,The Wizard of Oz,"young dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the wizard and ask for the things they miss most in their lives. the wicked witch of the west is the only thing that could stop them."
435,The Piano,"after a long voyage from scotland, pianist ada mcgrath and her young daughter, flora, are left with all their belongings, including a piano, on a new zealand beach. ada, who has been mute since childhood, has been sold into marriage to a local man named alisdair stewart. making little attempt to warm up to alisdair, ada soon becomes intrigued by his maori-friendly acquaintance, george baines, leading to tense, life-altering conflicts."
443,V for Vendetta,"in a world in which great britain has become a fascist state, a masked vigilante known only as “v” conducts guerrilla warfare against the oppressive british government. when v rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of britain."
