,0,1,2,3,4,5,6,7,8,9
0,event,ufc,championship,held,ultimate,mixed,martial,arts,fighting,pride
1,old,year,life,boy,new,father,girl,finds,family,time
2,town,small,sheriff,local,life,way,home,comes,woman,new
3,world,love,story,way,time,group,finds,help,friends,team
4,just,christmas,santa,couple,day,alex,life,eve,time,wife
5,film,life,story,movie,documentary,world,based,director,people,career
6,new,york,city,life,world,love,young,time,big,orleans
7,young,family,father,mother,woman,son,daughter,boy,life,home
8,war,world,ii,american,vietnam,soldiers,civil,army,story,british
9,man,young,woman,love,life,finds,death,wife,world,story
10,killer,serial,victims,police,sadistic,detective,murder,killers,fbi,young
11,school,high,student,teacher,students,friends,new,girl,girls,life
